name,P_ms,P1_e20,PMRA,PMDEC,dist,cluster,cluster_mass,core_radius,environment,P,P1,PM_total,P1_shk,P1_intrinsic,shk_dominated,a_max,P1_acc_max,phi_over_c2,tep_pdot_factor,P1_predicted,a_over_c
J0024-7204X,4.771,0.011,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004771,1.0999999999999998e-22,5.5901699437494745,1.6300051264709888e-21,-1.5200051264709888e-21,False,6.098277730969078e-07,9.70500834095482e-18,-8.375711438668182e-08,0.9999999162428856,1.259455609280045e-20,-2.6167587702369422e-18
J0024-7204Y,2.196,0.005,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002196,5e-23,5.5901699437494745,7.502601672040017e-22,-7.002601672040016e-22,False,6.098277730969078e-07,4.467029619940638e-18,-8.375711438668182e-08,0.9999999162428856,8.147249709702196e-21,-3.687272181103004e-18
J1824-2452A,3.054,0.16,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.003054,1.6e-21,8.514693182963201,2.9586033663407633e-21,-1.3586033663407634e-21,False,1.9166015725902818e-06,1.952451119597785e-17,-1.3161832260764284e-07,0.9999998683816774,9.804401619413318e-21,-2.6864445381183098e-18
J1824-2452B,4.63,0.012,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.00463,1.2e-22,8.514693182963201,4.4853744551924475e-21,-4.3653744551924475e-21,False,1.9166015725902818e-06,2.960002843398082e-17,-1.3161832260764284e-07,0.9999998683816774,1.2384229203896392e-20,-2.648861599113692e-18
J1824-2452C,4.159,0.01,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.0041589999999999,1e-22,8.514693182963201,4.0290869026231935e-21,-3.929086902623194e-21,False,1.9166015725902818e-06,2.658888083302943e-17,-1.3161832260764284e-07,0.9999998683816774,1.1660392617821173e-20,-2.779608708300421e-18
J1824-2452D,79.83,4.2,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.07983,4.2e-20,8.514693182963201,7.73363807252728e-20,-3.5336380725272806e-20,False,1.9166015725902818e-06,5.103607494351382e-16,-1.3161832260764284e-07,0.9999998683816774,6.124375908382606e-20,-2.41059239431618e-19
J1824-2452E,5.438,0.014,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.005438,1.4000000000000002e-22,8.514693182963201,5.2681352672433114e-21,-5.128135267243312e-21,False,1.9166015725902818e-06,3.4765648946865604e-17,-1.3161832260764284e-07,0.9999998683816774,1.3554575175872214e-20,-2.466821474047851e-18
J1824-2452F,2.451,0.006,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.002451,6e-23,8.514693182963201,2.3744390474463687e-21,-2.314439047446369e-21,False,1.9166015725902818e-06,1.5669475095396764e-17,-1.3161832260764284e-07,0.9999998683816774,8.66552669427336e-21,-3.511026803049107e-18
J1824-2452G,5.909,0.015,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.005909,1.5000000000000002e-22,8.514693182963201,5.724422819812565e-21,-5.574422819812565e-21,False,1.9166015725902818e-06,3.777679654781701e-17,-1.3161832260764284e-07,0.9999998683816774,1.4201608502672227e-20,-2.3780011004691534e-18
J1824-2452H,4.629,0.012,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.0046289999999999,1.2e-22,8.514693182963201,4.484405691811197e-21,-4.364405691811197e-21,False,1.9166015725902818e-06,2.9593635339286656e-17,-1.3161832260764284e-07,0.9999998683816774,1.238272756786021e-20,-2.649109433540824e-18
J1824-2452I,3.932,0.01,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.003932,1e-22,8.514693182963201,3.809177615079202e-21,-3.709177615079202e-21,False,1.9166015725902818e-06,2.5137648337454122e-17,-1.3161832260764284e-07,0.9999998683816774,1.1298722210442593e-20,-2.8480982223913004e-18
J1824-2452J,4.039,0.01,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.004039,1e-22,8.514693182963201,3.912835296873066e-21,-3.812835296873066e-21,False,1.9166015725902818e-06,2.5821709469729715e-17,-1.3161832260764284e-07,0.9999998683816774,1.1470311252138431e-20,-2.8151302926809684e-18
J1748-2446A,11.56,0.025,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.01156,2.5000000000000002e-22,7.211102550927978,8.616486415177653e-21,-8.366486415177654e-21,False,6.195075790190808e-06,2.3888218073386537e-16,-3.190747214730736e-07,0.9999996809252786,2.069893369990943e-20,-1.768938901376248e-18
J1748-2446C,8.436,0.018,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.008436,1.7999999999999997e-22,7.211102550927978,6.287948044847638e-21,-6.107948044847638e-21,False,6.195075790190808e-06,1.7432613119990383e-16,-3.190747214730736e-07,0.9999996809252786,1.7343605937887783e-20,-2.034566848967257e-18
J1748-2446D,1.396,0.003,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.0013959999999999,3e-23,7.211102550927978,1.0405376328363324e-21,-1.0105376328363324e-21,False,6.195075790190808e-06,2.8847709714920074e-17,-3.190747214730736e-07,0.9999996809252786,6.3177356622635976e-21,-4.504108640590293e-18
J1748-2446E,2.073,0.004,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.0020729999999999,4.0000000000000004e-23,7.211102550927978,1.5451536625141241e-21,-1.5051536625141238e-21,False,6.195075790190808e-06,4.283760905374592e-17,-3.190747214730736e-07,0.9999996809252786,7.887838489459273e-21,-3.7857397440712266e-18
J1748-2446F,3.58,0.008,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.00358,8.000000000000001e-23,7.211102550927978,2.6684274538352944e-21,-2.5884274538352946e-21,False,6.195075790190808e-06,7.397908365287526e-17,-3.190747214730736e-07,0.9999996809252786,1.0719242499678718e-20,-2.9718554468376306e-18
J1748-2446G,5.073,0.011,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.005073,1.0999999999999998e-22,7.211102550927978,3.781266053996214e-21,-3.671266053996214e-21,False,6.195075790190808e-06,1.0483125457291516e-16,-3.190747214730736e-07,0.9999996809252786,1.3036069613208813e-20,-2.5480129338081633e-18
J1748-2446I,9.57,0.021,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.00957,2.1e-22,7.211102550927978,7.133198528827867e-21,-6.923198528827867e-21,False,6.195075790190808e-06,1.977597292061498e-16,-3.190747214730736e-07,0.9999996809252786,1.861611850551679e-20,-1.923314368392559e-18
J1748-2446J,1.987,0.004,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.001987,4.0000000000000004e-23,7.211102550927978,1.4810517739583042e-21,-1.4410517739583043e-21,False,6.195075790190808e-06,4.106045788219641e-17,-3.190747214730736e-07,0.9999996809252786,7.70243126293248e-21,-3.856281460962496e-18
J1748-2446K,8.96,0.019,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.00896,1.9e-22,7.211102550927978,6.6785223425598434e-21,-6.4885223425598434e-21,False,6.195075790190808e-06,1.8515435461725208e-16,-3.190747214730736e-07,0.9999996809252786,1.7940373978930415e-20,-1.9810685244341983e-18
J1748-2446L,5.954,0.013,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.005954,1.2999999999999998e-22,7.211102550927978,4.4379377262947876e-21,-4.3079377262947876e-21,False,6.195075790190808e-06,1.230367218070445e-16,-3.190747214730736e-07,0.9999996809252786,1.4262221934297386e-20,-2.3735676745544818e-18
B2127+11A,110.7,498.0,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.1107,4.98e-18,3.8470768123342687,4.139612539783725e-20,4.9386038746021625e-18,False,1.5930194889062077e-05,5.882311336261742e-15,-3.828896657676883e-07,0.9999996171103342,7.358126656856904e-20,4.432175910958835e-17
B2127+11B,56.13,7.2,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.05613,7.2e-20,3.8470768123342687,2.098974271527195e-20,5.1010257284728054e-20,False,1.5930194889062077e-05,2.9826028482779725e-15,-3.828896657676883e-07,0.9999996171103342,5.025590432026106e-20,3.8738812898163076e-19
B2127+11C,30.53,4.99,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.03053,4.99e-20,3.8470768123342687,1.1416654999060263e-20,3.848334500093974e-20,False,1.5930194889062077e-05,1.6222851408859165e-15,-3.828896657676883e-07,0.9999996171103342,3.570427281583761e-20,4.649763244075464e-19
B2127+11D,4.651,0.012,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.004651,1.2e-22,3.8470768123342687,1.7392355846914275e-21,-1.6192355846914274e-21,False,1.5930194889062077e-05,2.471420959797051e-16,-3.828896657676883e-07,0.9999996171103342,1.2415730768759671e-20,-2.6436746438958656e-18
B2127+11E,4.803,0.012,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.004803,1.2e-22,3.8470768123342687,1.7960757930064346e-21,-1.6760757930064345e-21,False,1.5930194889062077e-05,2.5521898236734547e-16,-3.828896657676883e-07,0.9999996171103342,1.2641908525541698e-20,-2.607101504380949e-18
B2127+11F,4.026,0.01,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.004026,1e-22,3.8470768123342687,1.5055176228698534e-21,-1.4055176228698532e-21,False,1.5930194889062077e-05,2.1393121445157876e-16,-3.828896657676883e-07,0.9999996171103342,1.1449571300243337e-20,-2.819068877358007e-18
B2127+11G,37.66,5.8,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.03766,5.8e-20,3.8470768123342687,1.4082909507520784e-20,4.391709049247921e-20,False,1.5930194889062077e-05,2.0011548773587818e-15,-3.828896657676883e-07,0.9999996171103342,4.0169077138588413e-20,4.734711328043438e-19
B2127+11H,6.744,0.017,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.006744,1.7000000000000002e-22,3.8470768123342687,2.521910295239516e-21,-2.351910295239516e-21,False,1.5930194889062077e-05,3.583586960410947e-16,-3.828896657676883e-07,0.9999996171103342,1.529546528314658e-20,-2.242803274487927e-18
J1641+3627A,3.193,0.008,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.003193,8.000000000000001e-23,4.123105625617661,9.363176431187301e-22,-8.563176431187301e-22,False,2.3231534213215535e-07,2.474321376783842e-18,-4.786120822096104e-08,0.9999999521387918,1.0052463014482106e-20,-3.1232267505424695e-18
J1641+3627B,3.528,0.009,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.003528,8.999999999999998e-23,4.123105625617661,1.0345532868533917e-21,-9.445532868533916e-22,False,2.3231534213215535e-07,2.7339197673953626e-18,-4.786120822096104e-08,0.9999999521387918,1.0631556253915619e-20,-2.9879694597266494e-18
J1641+3627C,3.722,0.009,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.003722,8.999999999999998e-23,4.123105625617661,1.0914419880012256e-21,-1.0014419880012257e-21,False,2.3231534213215535e-07,2.8842543577793477e-18,-4.786120822096104e-08,0.9999999521387918,1.0955889984823762e-20,-2.9193686149445897e-18
J1641+3627D,3.118,0.008,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.0031179999999999,8.000000000000001e-23,4.123105625617661,9.143245885512685e-22,-8.343245885512685e-22,False,2.3231534213215535e-07,2.41620233410962e-18,-4.786120822096104e-08,0.9999999521387918,9.91921895787342e-21,-3.155618652300749e-18
J1641+3627E,2.487,0.006,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.002487,6e-23,4.123105625617661,7.292896894570253e-22,-6.692896894570253e-22,False,2.3231534213215535e-07,1.927227455077173e-18,-4.786120822096104e-08,0.9999999521387918,8.736749464169587e-21,-3.488841762834575e-18
J1701-3006A,5.242,0.013,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.005242,1.2999999999999998e-22,5.830951894845301,2.9444342756428466e-21,-2.8144342756428466e-21,False,1.239015158038162e-06,2.1664712654099007e-17,-1.2762988858922945e-07,0.9999998723701115,1.3278111239258234e-20,-2.5082241967299186e-18
J1701-3006B,3.594,0.009,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003594,8.999999999999998e-23,5.830951894845301,2.018751771587255e-21,-1.9287517715872548e-21,False,1.239015158038162e-06,1.4853677466392945e-17,-1.2762988858922945e-07,0.9999998723701115,1.0742754701097656e-20,-2.9640385924033545e-18
J1701-3006C,3.806,0.009,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003806,8.999999999999998e-23,5.830951894845301,2.137832287885669e-21,-2.0478322878856685e-21,False,1.239015158038162e-06,1.572985432306387e-17,-1.2762988858922945e-07,0.9999998723701115,1.1094015807378954e-20,-2.8912285358326207e-18
J1701-3006D,3.418,0.008,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003418,8.000000000000001e-23,5.830951894845301,1.9198924750376285e-21,-1.8398924750376287e-21,False,1.239015158038162e-06,1.4126285358968025e-17,-1.2762988858922945e-07,0.9999998723701115,1.0444176966077512e-20,-3.032234337647019e-18
J1701-3006E,3.234,0.008,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003234,8.000000000000001e-23,5.830951894845301,1.816539574099383e-21,-1.7365395740993828e-21,False,1.239015158038162e-06,1.3365829973932884e-17,-1.2762988858922945e-07,0.9999998723701115,1.0124722739153524e-20,-3.105974872960273e-18
J1701-3006F,2.295,0.006,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.0022949999999999,6e-23,5.830951894845301,1.2891027589851834e-21,-1.2291027589851833e-21,False,1.239015158038162e-06,9.485027764432893e-18,-1.2762988858922945e-07,0.9999998723701115,8.351445147452392e-21,-3.612830129609043e-18
J1748-2021A,5.436,0.014,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.005436,1.4000000000000002e-22,6.324555320336759,4.4903002677453916e-21,-4.350300267745393e-21,False,5.689355317522171e-06,1.0316248684965421e-16,-2.734926184054917e-07,0.9999997265073816,1.3551776401709418e-20,-2.4672142019332997e-18
J1748-2021B,16.76,0.042,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.01676,4.2e-22,6.324555320336759,1.3844266461996467e-20,-1.3424266461996467e-20,False,5.689355317522171e-06,3.1806535680651312e-16,-2.734926184054917e-07,0.9999997265073816,2.5498080050964834e-20,-1.4963054923010044e-18
J1748-2021C,5.847,0.015,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.005847,1.5000000000000002e-22,6.324555320336759,4.829798687547335e-21,-4.679798687547335e-21,False,5.689355317522171e-06,1.1096229959711705e-16,-2.734926184054917e-07,0.9999997265073816,1.4117763995874483e-20,-2.3888770302504677e-18
J1748-2021D,13.5,0.034,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.0135,3.4000000000000003e-22,6.324555320336759,1.1151407949698824e-20,-1.0811407949698824e-20,False,5.689355317522171e-06,2.5619822893126054e-16,-2.734926184054917e-07,0.9999997265073816,2.2582468043355083e-20,-1.6475902254337098e-18
J1748-2021E,4.61,0.012,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.00461,1.2e-22,6.324555320336759,3.807999307267524e-21,-3.687999307267524e-21,False,5.689355317522171e-06,8.74869507683786e-17,-2.734926184054917e-07,0.9999997265073816,1.2354169396713373e-20,-2.6538328409356553e-18
J1748-2021F,3.728,0.009,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.003728,8.999999999999998e-23,6.324555320336759,3.079440654553868e-21,-2.989440654553868e-21,False,5.689355317522171e-06,7.074866647820291e-17,-2.734926184054917e-07,0.9999997265073816,1.0965801161441135e-20,-2.9173286377256264e-18
J1910-5959A,3.266,0.008,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.003266,8.000000000000001e-23,5.122499389946279,8.328312654151783e-22,-7.528312654151782e-22,False,1.3504836497647783e-06,1.4712443500269e-17,-7.883022530511231e-08,0.9999999211697747,1.018084177630423e-20,-3.0927255898053368e-18
J1910-5959B,8.358,0.021,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.008358,2.1e-22,5.122499389946279,2.1312932383160013e-21,-1.9212932383160012e-21,False,1.3504836497647783e-06,3.765052136412992e-17,-7.883022530511231e-08,0.9999999211697747,1.725339956473896e-20,-2.039171998652663e-18
J1910-5959C,5.277,0.013,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.005277,1.2999999999999998e-22,5.122499389946279,1.34563704457927e-21,-1.21563704457927e-21,False,1.3504836497647783e-06,2.3771452648781237e-17,-7.883022530511231e-08,0.9999999211697747,1.3327808113715405e-20,-2.5010058960991862e-18
J1910-5959D,9.036,0.023,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.0090359999999999,2.3000000000000003e-22,5.122499389946279,2.304183501007823e-21,-2.074183501007823e-21,False,1.3504836497647783e-06,4.07047273326487e-17,-7.883022530511231e-08,0.9999999211697747,1.8025642323500022e-20,-1.9694159277888687e-18
J1910-5959E,4.571,0.011,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.0045709999999999,1.0999999999999998e-22,5.122499389946279,1.1656067710388181e-21,-1.0556067710388179e-21,False,1.3504836497647783e-06,2.0591114280382604e-17,-7.883022530511231e-08,0.9999999211697747,1.2295387763470046e-20,-2.6658034923365375e-18
J0437-4715,5.757,1.4,121.4,-71.4,0.16,,0.0,,field,0.005757,1.3999999999999998e-20,140.84005112183112,4.439004430232628e-20,-3.0390044302326284e-20,True,0.0,0.0,-1e-06,0.999999,1.3995357085807325e-20,8.064815342492523e-22
J1909-3744,2.947,1.4,-9.5,-35.8,1.14,,0.0,,field,0.002947,1.3999999999999998e-20,37.03903346471125,1.1197505795855225e-20,2.802494204144772e-21,False,0.0,0.0,-1e-06,0.999999,9.610056753624452e-21,1.4896312339245152e-18
J0613-0200,3.062,0.96,1.8,-10.4,0.78,,0.0,,field,0.0030619999999999,9.6e-21,10.554619841567009,6.464009680498329e-22,8.953599031950166e-21,False,0.0,0.0,-1e-06,0.999999,9.818811119392459e-21,-7.14601957519484e-20
J1012+5307,5.256,1.71,2.6,-25.6,0.52,,0.0,,field,0.005256,1.71e-20,25.731692521091578,4.396554133233068e-21,1.270344586676693e-20,False,0.0,0.0,-1e-06,0.999999,1.3298007401612462e-20,7.233623665120884e-19
J1713+0747,4.57,0.85,4.9,-3.9,1.05,,0.0,,field,0.00457,8.5e-21,6.262587324740471,4.572251454572595e-22,8.04277485454274e-21,False,0.0,0.0,-1e-06,0.999999,1.229387765561822e-20,-8.301701653431554e-19
J1744-1134,4.075,0.89,18.8,-9.4,0.42,,0.0,,field,0.004075,8.899999999999999e-21,21.019038988498025,1.8370443165731664e-21,7.062955683426833e-21,False,0.0,0.0,-1e-06,0.999999,1.1527592678423045e-20,-6.448080192449193e-19
J1857+0943,5.362,1.78,-2.6,-5.4,0.9,,0.0,,field,0.005362,1.7799999999999998e-20,5.993329625508679,4.211362885082666e-22,1.7378863711491732e-20,False,0.0,0.0,-1e-06,0.999999,1.3447902184059631e-20,8.116556911488936e-19
J1939+2134,1.558,10.5,0.1,-0.4,3.6,,0.0,,field,0.001558,1.05e-19,0.4123105625617661,2.3165191447507694e-24,1.0499768348085525e-19,False,0.0,0.0,-1e-06,0.999999,6.719379054612624e-21,6.30812714668725e-17
J2145-0750,16.05,2.98,-9.5,-9.1,0.5,,0.0,,field,0.01605,2.9799999999999996e-20,13.155227098001768,3.374106284246927e-21,2.642589371575307e-20,False,0.0,0.0,-1e-06,0.999999,2.488594460660138e-20,3.0617167560115997e-19
J0030+0451,4.865,1.02,-6.3,0.6,0.3,,0.0,,field,0.004865,1.02e-20,6.328506932918696,1.4201154032648072e-22,1.005798845967352e-20,False,0.0,0.0,-1e-06,0.999999,1.2733261819225762e-20,-5.207115764081731e-19
J0751+1807,3.479,0.78,-2.8,14.1,0.62,,0.0,,field,0.003479,7.8e-21,14.375326083258075,1.082925414799977e-21,6.7170745852000225e-21,False,0.0,0.0,-1e-06,0.999999,1.0548408568535712e-20,-7.899995885414522e-19
J1024-0719,5.162,1.86,-35.3,-48.2,0.35,,0.0,,field,0.005162,1.86e-20,59.74386997843377,1.5667141471646158e-20,2.9328585283538426e-21,False,0.0,0.0,-1e-06,0.999999,1.3163968776345447e-20,1.053086250223664e-18
J1600-3053,3.598,0.95,-0.9,-7.1,1.63,,0.0,,field,0.003598,9.5e-21,7.1568149340331555,7.298025152552749e-22,8.770197484744724e-21,False,0.0,0.0,-1e-06,0.999999,1.0749465090690458e-20,-3.472665621707777e-19
J1640+2224,3.163,0.28,2.1,-11.3,1.19,,0.0,,field,0.003163,2.8e-21,11.493476410555688,1.2079973712232076e-21,1.5920026287767924e-21,False,0.0,0.0,-1e-06,0.999999,9.999331897329118e-21,-2.2761087250487253e-18
J1738+0333,5.85,2.41,7.0,5.1,1.47,,0.0,,field,0.0058499999999999,2.41e-20,8.66083136886985,1.5671457331338257e-21,2.2532854266866175e-20,False,0.0,0.0,-1e-06,0.999999,1.41218299393574e-20,1.7056700958363709e-18
J1853+1303,4.092,0.87,-1.7,-2.9,1.24,,0.0,,field,0.0040919999999999,8.7e-21,3.361547262794322,1.3930053101488191e-22,8.560699468985118e-21,False,0.0,0.0,-1e-06,0.999999,1.1554565061470064e-20,-6.975965448362985e-19
