name,P_ms,P1_e20,PMRA,PMDEC,dist,cluster,cluster_mass,core_radius,environment,P,P1,PM_total,P1_shk,P1_intrinsic,shk_dominated,a_max,P1_acc_max,offset_arcsec,r_over_rc,phi_radial
J1824-2452F,2.451,0.006,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.002451,6e-23,8.514693182963201,2.3744390474463687e-21,-2.314439047446369e-21,False,1.9166015725902818e-06,1.5669475095396764e-17,1.695962919146052,0.22611215711052973,-1.2837747106771097e-07
J1824-2452G,5.909,0.015,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.005909,1.5000000000000002e-22,8.514693182963201,5.724422819812565e-21,-5.574422819812565e-21,False,1.9166015725902818e-06,3.777679654781701e-17,0.5983876860868067,0.07977929762614963,-1.3120145354201756e-07
J1824-2452H,4.629,0.012,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.0046289999999999,1.2e-22,8.514693182963201,4.484405691811197e-21,-4.364405691811197e-21,False,1.9166015725902818e-06,2.9593635339286656e-17,20.112308644799395,2.6814486571664933,-4.599069533004771e-08
J1824-2452I,3.932,0.01,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.003932,1e-22,8.514693182963201,3.809177615079202e-21,-3.709177615079202e-21,False,1.9166015725902818e-06,2.5137648337454122e-17,9.190821536272646,1.225354905890814,-8.321786372791262e-08
J1824-2452J,4.039,0.01,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.004039,1e-22,8.514693182963201,3.912835296873066e-21,-3.812835296873066e-21,False,1.9166015725902818e-06,2.5821709469729715e-17,12.312500617045902,1.6415489056487005,-6.847432688029098e-08
J1748-2446A,11.56,0.025,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.01156,2.5000000000000002e-22,7.211102550927978,8.616486415177653e-21,-8.366486415177654e-21,False,6.195075790190808e-06,2.3888218073386537e-16,0.20799307999138622,0.0396629036973341,-3.1882404165160756e-07
J1748-2446C,8.436,0.018,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.008436,1.7999999999999997e-22,7.211102550927978,6.287948044847638e-21,-6.107948044847638e-21,False,6.195075790190808e-06,1.7432613119990383e-16,35.03557475158312,6.681052212940645,-4.723201031062023e-08
J1748-2446D,1.396,0.003,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.0013959999999999,3e-23,7.211102550927978,1.0405376328363324e-21,-1.0105376328363324e-21,False,6.195075790190808e-06,2.8847709714920074e-17,17.86429543354675,3.406602899629323,-8.987149171467795e-08
J1748-2446E,2.073,0.004,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.0020729999999999,4.0000000000000004e-23,7.211102550927978,1.5451536625141241e-21,-1.5051536625141238e-21,False,6.195075790190808e-06,4.283760905374592e-17,2.3868762524894698,0.45516150318012594,-2.9040749662038804e-07
J1748-2446F,3.58,0.008,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.00358,8.000000000000001e-23,7.211102550927978,2.6684274538352944e-21,-2.5884274538352946e-21,False,6.195075790190808e-06,7.397908365287526e-17,2.0067898874966335,0.38268154907778296,-2.9799965048583724e-07
J1748-2446G,5.073,0.011,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.005073,1.0999999999999998e-22,7.211102550927978,3.781266053996214e-21,-3.671266053996214e-21,False,6.195075790190808e-06,1.0483125457291516e-16,2.0261142283225704,0.38636657297004573,-2.976320110945362e-07
J1748-2446I,9.57,0.021,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.00957,2.1e-22,7.211102550927978,7.133198528827867e-21,-6.923198528827867e-21,False,6.195075790190808e-06,1.977597292061498e-16,3.627537294604771,0.6917473522693901,-2.6240953976713757e-07
J1748-2446J,1.987,0.004,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.001987,4.0000000000000004e-23,7.211102550927978,1.4810517739583042e-21,-1.4410517739583043e-21,False,6.195075790190808e-06,4.106045788219641e-17,7.439278308608545,1.4186211346273003,-1.8383571377903155e-07
J1748-2446K,8.96,0.019,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.00896,1.9e-22,7.211102550927978,6.6785223425598434e-21,-6.4885223425598434e-21,False,6.195075790190808e-06,1.8515435461725208e-16,5.655370667803367,1.0784417547886804,-2.1695040386338463e-07
J1748-2446L,5.954,0.013,-6.0,-4.0,5.9,Terzan 5,10.0,0.15,globular_cluster,0.005954,1.2999999999999998e-22,7.211102550927978,4.4379377262947876e-21,-4.3079377262947876e-21,False,6.195075790190808e-06,1.230367218070445e-16,3.442229925539415,0.6564104634942928,-2.6674211903107163e-07
B2127+11A,110.7,498.0,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.1107,4.98e-18,3.8470768123342687,4.139612539783725e-20,4.9386038746021625e-18,False,1.5930194889062077e-05,5.882311336261742e-15,9.463708738997987,6.8166584136145465,-5.557487845353493e-08
B2127+11B,56.13,7.2,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.05613,7.2e-20,3.8470768123342687,2.098974271527195e-20,5.1010257284728054e-20,False,1.5930194889062077e-05,2.9826028482779725e-15,1.5023452872733867,1.0821312156877099,-2.598620954550308e-07
B2127+11C,30.53,4.99,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.03053,4.99e-20,3.8470768123342687,1.1416654999060263e-20,3.848334500093974e-20,False,1.5930194889062077e-05,1.6222851408859165e-15,3.4551551200240227,2.488729616350056,-1.4275627809264112e-07
B2127+11D,4.651,0.012,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.004651,1.2e-22,3.8470768123342687,1.7392355846914275e-21,-1.6192355846914274e-21,False,1.5930194889062077e-05,2.471420959797051e-16,4.56277218220847,3.286540218327866,-1.1145713155979549e-07
B2127+11E,4.803,0.012,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.004803,1.2e-22,3.8470768123342687,1.7960757930064346e-21,-1.6760757930064345e-21,False,1.5930194889062077e-05,2.5521898236734547e-16,6.08934687859775,4.3861237468521015,-8.511164302220195e-08
B2127+11F,4.026,0.01,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.004026,1e-22,3.8470768123342687,1.5055176228698534e-21,-1.4055176228698532e-21,False,1.5930194889062077e-05,2.1393121445157876e-16,15.379360110309118,11.077670222450925,-3.4424120678293935e-08
B2127+11G,37.66,5.8,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.03766,5.8e-20,3.8470768123342687,1.4082909507520784e-20,4.391709049247921e-20,False,1.5930194889062077e-05,2.0011548773587818e-15,2.227358621286903,1.6043544137580725,-2.0253459749878327e-07
B2127+11H,6.744,0.017,-0.6,-3.8,10.4,M15,5.6,0.07,globular_cluster,0.006744,1.7000000000000002e-22,3.8470768123342687,2.521910295239516e-21,-2.351910295239516e-21,False,1.5930194889062077e-05,3.583586960410947e-16,7.220291550331277,5.2007371002974185,-7.229783267470489e-08
J1641+3627A,3.193,0.008,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.003193,8.000000000000001e-23,4.123105625617661,9.363176431187301e-22,-8.563176431187301e-22,False,2.3231534213215535e-07,2.474321376783842e-18,8.975047213097605,0.5148950385057915,-4.2551838509769386e-08
J1641+3627B,3.528,0.009,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.003528,8.999999999999998e-23,4.123105625617661,1.0345532868533917e-21,-9.445532868533916e-22,False,2.3231534213215535e-07,2.7339197673953626e-18,0.47563849756408544,0.027287199354305302,-4.7843399647031e-08
J1641+3627C,3.722,0.009,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.003722,8.999999999999998e-23,4.123105625617661,1.0914419880012256e-21,-1.0014419880012257e-21,False,2.3231534213215535e-07,2.8842543577793477e-18,9.353330206496102,0.5365969896852529,-4.217319082711786e-08
J1641+3627D,3.118,0.008,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.0031179999999999,8.000000000000001e-23,4.123105625617661,9.143245885512685e-22,-8.343245885512685e-22,False,2.3231534213215535e-07,2.41620233410962e-18,1.8696125197741642,0.10725895780862221,-4.7588251889437865e-08
J1641+3627E,2.487,0.006,-3.2,-2.6,7.1,M13,6.0,0.6,globular_cluster,0.002487,6e-23,4.123105625617661,7.292896894570253e-22,-6.692896894570253e-22,False,2.3231534213215535e-07,1.927227455077173e-18,0.6726393087930425,0.038589060823666574,-4.7825612534337695e-08
J1701-3006A,5.242,0.013,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.005242,1.2999999999999998e-22,5.830951894845301,2.9444342756428466e-21,-2.8144342756428466e-21,False,1.239015158038162e-06,2.1664712654099007e-17,29.73687793506931,3.2678182581186683,-3.7347051947118304e-08
J1701-3006B,3.594,0.009,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003594,8.999999999999998e-23,5.830951894845301,2.018751771587255e-21,-1.9287517715872548e-21,False,1.239015158038162e-06,1.4853677466392945e-17,33.706303424611725,3.704022795706353,-3.326608238255556e-08
J1701-3006C,3.806,0.009,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003806,8.999999999999998e-23,5.830951894845301,2.137832287885669e-21,-2.0478322878856685e-21,False,1.239015158038162e-06,1.572985432306387e-17,16.523315728128768,1.8157653583855522,-6.157005186129794e-08
J1701-3006D,3.418,0.008,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003418,8.000000000000001e-23,5.830951894845301,1.9198924750376285e-21,-1.8398924750376287e-21,False,1.239015158038162e-06,1.4126285358968025e-17,3.632878599687583,0.3992210293060811,-1.1853318915123891e-07
J1701-3006E,3.234,0.008,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.003234,8.000000000000001e-23,5.830951894845301,1.816539574099383e-21,-1.7365395740993828e-21,False,1.239015158038162e-06,1.3365829973932884e-17,1.0277731500250624,0.1129431230874173,-1.268235617189004e-07
J1701-3006F,2.295,0.006,-5.0,-3.0,6.8,NGC 6266,8.0,0.3,globular_cluster,0.0022949999999999,6e-23,5.830951894845301,1.2891027589851834e-21,-1.2291027589851833e-21,False,1.239015158038162e-06,9.485027764432893e-18,11.527507630986618,1.266770505948628,-7.90811376946733e-08
J1748-2021A,5.436,0.014,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.005436,1.4000000000000002e-22,6.324555320336759,4.4903002677453916e-21,-4.350300267745393e-21,False,5.689355317522171e-06,1.0316248684965421e-16,5.800908425853983,1.7075041446856811,-1.382127444001661e-07
J1748-2021B,16.76,0.042,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.01676,4.2e-22,6.324555320336759,1.3844266461996467e-20,-1.3424266461996467e-20,False,5.689355317522171e-06,3.1806535680651312e-16,1.3015223395444864,0.38310461500623516,-2.5539218829876123e-07
J1748-2021C,5.847,0.015,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.005847,1.5000000000000002e-22,6.324555320336759,4.829798687547335e-21,-4.679798687547335e-21,False,5.689355317522171e-06,1.1096229959711705e-16,6.835472281341501,2.012029219295332,-1.2172357082332668e-07
J1748-2021D,13.5,0.034,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.0135,3.4000000000000003e-22,6.324555320336759,1.1151407949698824e-20,-1.0811407949698824e-20,False,5.689355317522171e-06,2.5619822893126054e-16,0.34993721443479087,0.10300442623160413,-2.7205319615616027e-07
J1748-2021E,4.61,0.012,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.00461,1.2e-22,6.324555320336759,3.807999307267524e-21,-3.687999307267524e-21,False,5.689355317522171e-06,8.74869507683786e-17,24.004228873930238,7.065672698700743,-3.8325294684074544e-08
J1748-2021F,3.728,0.009,-2.0,-6.0,8.5,NGC 6440,8.0,0.14,globular_cluster,0.003728,8.999999999999998e-23,6.324555320336759,3.079440654553868e-21,-2.989440654553868e-21,False,5.689355317522171e-06,7.074866647820291e-17,2.994577768406861,0.881457450413995,-2.0516623978119122e-07
J1910-5959A,3.266,0.008,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.003266,8.000000000000001e-23,5.122499389946279,8.328312654151783e-22,-7.528312654151782e-22,False,1.3504836497647783e-06,1.4712443500269e-17,10.862557985649804,1.2391333466561572,-4.950682995960916e-08
J1910-5959B,8.358,0.021,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.008358,2.1e-22,5.122499389946279,2.1312932383160013e-21,-1.9212932383160012e-21,False,1.3504836497647783e-06,3.765052136412992e-17,3.7354658165762364,0.4261188078101562,-7.252065362344947e-08
J1910-5959C,5.277,0.013,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.005277,1.2999999999999998e-22,5.122499389946279,1.34563704457927e-21,-1.21563704457927e-21,False,1.3504836497647783e-06,2.3771452648781237e-17,7.341108959092287,0.8374282489138178,-6.043716644327716e-08
J1910-5959D,9.036,0.023,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.0090359999999999,2.3000000000000003e-22,5.122499389946279,2.304183501007823e-21,-2.074183501007823e-21,False,1.3504836497647783e-06,4.07047273326487e-17,7.912237979817975,0.9025791107788781,-5.8518939195670606e-08
J1910-5959E,4.571,0.011,-3.2,-4.0,4.0,NGC 6752,2.8,0.17,globular_cluster,0.0045709999999999,1.0999999999999998e-22,5.122499389946279,1.1656067710388181e-21,-1.0556067710388179e-21,False,1.3504836497647783e-06,2.0591114280382604e-17,2.0438859950790573,0.2331538571864717,-7.677116986711655e-08
J0437-4715,5.757,1.4,121.4,-71.4,0.16,,0.0,,field,0.005757,1.3999999999999998e-20,140.84005112183112,4.439004430232628e-20,-3.0390044302326284e-20,True,0.0,0.0,,,
J1909-3744,2.947,1.4,-9.5,-35.8,1.14,,0.0,,field,0.002947,1.3999999999999998e-20,37.03903346471125,1.1197505795855225e-20,2.802494204144772e-21,False,0.0,0.0,,,
J0613-0200,3.062,0.96,1.8,-10.4,0.78,,0.0,,field,0.0030619999999999,9.6e-21,10.554619841567009,6.464009680498329e-22,8.953599031950166e-21,False,0.0,0.0,,,
J1012+5307,5.256,1.71,2.6,-25.6,0.52,,0.0,,field,0.005256,1.71e-20,25.731692521091578,4.396554133233068e-21,1.270344586676693e-20,False,0.0,0.0,,,
J1713+0747,4.57,0.85,4.9,-3.9,1.05,,0.0,,field,0.00457,8.5e-21,6.262587324740471,4.572251454572595e-22,8.04277485454274e-21,False,0.0,0.0,,,
J1744-1134,4.075,0.89,18.8,-9.4,0.42,,0.0,,field,0.004075,8.899999999999999e-21,21.019038988498025,1.8370443165731664e-21,7.062955683426833e-21,False,0.0,0.0,,,
J1857+0943,5.362,1.78,-2.6,-5.4,0.9,,0.0,,field,0.005362,1.7799999999999998e-20,5.993329625508679,4.211362885082666e-22,1.7378863711491732e-20,False,0.0,0.0,,,
J1939+2134,1.558,10.5,0.1,-0.4,3.6,,0.0,,field,0.001558,1.05e-19,0.4123105625617661,2.3165191447507694e-24,1.0499768348085525e-19,False,0.0,0.0,,,
J2145-0750,16.05,2.98,-9.5,-9.1,0.5,,0.0,,field,0.01605,2.9799999999999996e-20,13.155227098001768,3.374106284246927e-21,2.642589371575307e-20,False,0.0,0.0,,,
J0030+0451,4.865,1.02,-6.3,0.6,0.3,,0.0,,field,0.004865,1.02e-20,6.328506932918696,1.4201154032648072e-22,1.005798845967352e-20,False,0.0,0.0,,,
J0751+1807,3.479,0.78,-2.8,14.1,0.62,,0.0,,field,0.003479,7.8e-21,14.375326083258075,1.082925414799977e-21,6.7170745852000225e-21,False,0.0,0.0,,,
J1024-0719,5.162,1.86,-35.3,-48.2,0.35,,0.0,,field,0.005162,1.86e-20,59.74386997843377,1.5667141471646158e-20,2.9328585283538426e-21,False,0.0,0.0,,,
J1600-3053,3.598,0.95,-0.9,-7.1,1.63,,0.0,,field,0.003598,9.5e-21,7.1568149340331555,7.298025152552749e-22,8.770197484744724e-21,False,0.0,0.0,,,
J1640+2224,3.163,0.28,2.1,-11.3,1.19,,0.0,,field,0.003163,2.8e-21,11.493476410555688,1.2079973712232076e-21,1.5920026287767924e-21,False,0.0,0.0,,,
J1738+0333,5.85,2.41,7.0,5.1,1.47,,0.0,,field,0.0058499999999999,2.41e-20,8.66083136886985,1.5671457331338257e-21,2.2532854266866175e-20,False,0.0,0.0,,,
J1853+1303,4.092,0.87,-1.7,-2.9,1.24,,0.0,,field,0.0040919999999999,8.7e-21,3.361547262794322,1.3930053101488191e-22,8.560699468985118e-21,False,0.0,0.0,,,
J2124-3358,4.931,2.06,-14.1,-50.1,0.25,,0.0,,field,0.004931,2.06e-20,52.046325518714575,8.112826284675211e-21,1.2487173715324791e-20,False,0.0,0.0,,,
J2317+1439,3.445,0.24,-1.3,3.8,1.89,,0.0,,field,0.0034449999999999,2.4e-21,4.016217125604641,2.5515402056845297e-22,2.144845979431547e-21,False,0.0,0.0,,,
J0340+4130,3.299,0.7,5.2,-8.3,1.73,,0.0,,field,0.003299,6.999999999999999e-21,9.794386147176352,1.3301477416095893e-21,5.66985225839041e-21,False,0.0,0.0,,,
J0645+5158,8.854,0.49,-2.8,-6.8,1.2,,0.0,,field,0.0088539999999999,4.8999999999999994e-21,7.353910524340094,1.3959647917796419e-21,3.5040352082203566e-21,False,0.0,0.0,,,
J1022+1001,16.45,4.33,-16.9,-6.4,0.72,,0.0,,field,0.01645,4.33e-20,18.0712478816489,9.397053582508263e-21,3.3902946417491744e-20,False,0.0,0.0,,,
J1455-3330,7.987,2.43,-8.2,-2.1,0.74,,0.0,,field,0.007987,2.43e-20,8.464632301523793,1.028841839389136e-21,2.3271158160610864e-20,False,0.0,0.0,,,
J1614-2230,3.151,0.96,3.3,-32.8,0.65,,0.0,,field,0.0031509999999999,9.6e-21,32.96558811852141,5.40754863763029e-21,4.1924513623697095e-21,False,0.0,0.0,,,
J1643-1224,4.622,1.85,6.1,-4.8,0.74,,0.0,,field,0.004622,1.85e-20,7.762087348130011,5.006517405941833e-22,1.7999348259405814e-20,False,0.0,0.0,,,
J1741+1351,3.747,0.91,-8.5,-11.0,1.08,,0.0,,field,0.003747,9.1e-21,13.901438774457844,1.8999578634796538e-21,7.200042136520347e-21,False,0.0,0.0,,,
J1802-2124,12.65,4.7,-0.4,-4.6,2.4,,0.0,,field,0.01265,4.7e-20,4.617358552246078,1.5725555143622857e-21,4.5427444485637724e-20,False,0.0,0.0,,,
J1843-1113,1.846,0.97,-3.2,-8.7,1.26,,0.0,,field,0.001846,9.7e-21,9.269843580125825,4.855836685760737e-22,9.214416331423924e-21,False,0.0,0.0,,,
J1903+0327,2.15,1.88,-2.6,-5.4,6.4,,0.0,,field,0.00215,1.8799999999999998e-20,5.993329625508679,1.2008030440287098e-21,1.7599196955971288e-20,False,0.0,0.0,,,
J1918-0642,7.646,2.57,-7.2,-5.8,0.9,,0.0,,field,0.007646,2.5699999999999996e-20,9.245539465060975,1.4290859019366257e-21,2.427091409806337e-20,False,0.0,0.0,,,
J2043+1711,2.38,0.52,-8.5,-8.1,1.48,,0.0,,field,0.0023799999999999,5.2e-21,11.741379816699569,1.1797608085507528e-21,4.020239191449247e-21,False,0.0,0.0,,,
J2229+2643,2.978,0.15,-5.0,-18.6,1.43,,0.0,,field,0.002978,1.5e-21,19.26032190800559,3.8379987773155905e-21,-2.3379987773155907e-21,True,0.0,0.0,,,
J2234+0611,3.577,0.79,8.3,-14.4,1.06,,0.0,,field,0.003577,7.9e-21,16.62077013859466,2.5447440663568593e-21,5.3552559336431404e-21,False,0.0,0.0,,,
J2302+4442,5.192,1.39,5.2,-3.8,1.19,,0.0,,field,0.005192,1.3899999999999998e-20,6.440496875241847,6.226405644936838e-22,1.3277359435506313e-20,False,0.0,0.0,,,
